,date,open,close,high,low,volume,code
526,2020-03-05,3036.15,3071.68,3074.26,3022.93,445425806.0,sh000001
527,2020-03-06,3039.94,3034.51,3052.44,3029.46,362061533.0,sh000001
528,2020-03-09,2987.18,2943.29,2989.21,2940.71,414560736.0,sh000001
529,2020-03-10,2918.93,2996.76,3000.3,2904.8,393296648.0,sh000001
530,2020-03-11,3001.76,2968.52,3010.03,2968.52,352470970.0,sh000001
531,2020-03-12,2936.02,2923.49,2944.47,2906.28,307778457.0,sh000001
532,2020-03-13,2804.23,2887.43,2910.88,2799.98,366450436.0,sh000001
533,2020-03-16,2897.3,2789.25,2898.03,2784.66,351878665.0,sh000001
534,2020-03-17,2796.28,2779.64,2826.91,2715.22,306149677.0,sh000001
535,2020-03-18,2792.32,2728.76,2815.87,2728.76,291159852.0,sh000001
536,2020-03-19,2719.41,2702.13,2736.82,2646.8,302302747.0,sh000001
537,2020-03-20,2727.02,2745.62,2751.9,2702.49,252019507.0,sh000001
538,2020-03-23,2677.59,2660.17,2703.33,2656.5,249820250.0,sh000001
539,2020-03-24,2703.02,2722.44,2723.41,2667.13,257021930.0,sh000001
540,2020-03-25,2775.3,2781.59,2788.64,2757.8,273144466.0,sh000001
541,2020-03-26,2761.9,2764.91,2788.5,2753.43,234084022.0,sh000001
542,2020-03-27,2792.98,2772.2,2805.55,2771.76,240764066.0,sh000001
543,2020-03-30,2739.72,2747.21,2759.1,2723.05,239706604.0,sh000001
544,2020-03-31,2767.31,2750.3,2771.17,2743.12,218598674.0,sh000001
545,2020-04-01,2743.54,2734.52,2773.36,2731.08,217253427.0,sh000001
546,2020-04-02,2720.23,2780.64,2780.64,2719.9,217864600.0,sh000001
547,2020-04-03,2773.58,2763.99,2780.59,2754.07,200837404.0,sh000001
548,2020-04-07,2806.97,2820.76,2823.28,2801.84,270198186.0,sh000001
549,2020-04-08,2805.92,2815.37,2823.21,2800.3,243515305.0,sh000001
550,2020-04-09,2825.84,2825.9,2832.4,2820.43,238184843.0,sh000001
551,2020-04-10,2827.19,2796.63,2833.01,2789.98,233454768.0,sh000001
552,2020-04-13,2784.6,2783.05,2792.89,2774.08,177124554.0,sh000001
553,2020-04-14,2794.8,2827.28,2827.3,2789.43,202696569.0,sh000001
554,2020-04-15,2826.66,2811.17,2829.75,2808.7,205621146.0,sh000001
555,2020-04-16,2798.43,2819.94,2823.34,2796.84,203003773.0,sh000001
556,2020-04-17,2835.56,2838.49,2854.96,2830.02,245736750.0,sh000001
557,2020-04-20,2840.41,2852.55,2852.99,2833.26,211847078.0,sh000001
558,2020-04-21,2842.24,2827.01,2842.24,2808.02,233235870.0,sh000001
559,2020-04-22,2814.07,2843.98,2843.98,2808.48,217320000.0,sh000001
560,2020-04-23,2850.51,2838.5,2853.64,2835.9,248779037.0,sh000001
561,2020-04-24,2834.94,2808.53,2834.94,2802.5,235185076.0,sh000001
562,2020-04-27,2812.24,2815.49,2832.67,2802.96,210130981.0,sh000001
563,2020-04-28,2819.99,2810.02,2821.75,2758.25,253872745.0,sh000001
564,2020-04-29,2801.38,2822.44,2831.76,2800.74,202061807.0,sh000001
565,2020-04-30,2832.38,2860.08,2865.59,2832.38,242455278.0,sh000001
566,2020-05-06,2831.63,2878.14,2879.26,2830.65,249826616.0,sh000001
567,2020-05-07,2876.47,2871.52,2882.02,2864.58,226736957.0,sh000001
568,2020-05-08,2882.71,2895.34,2903.8,2879.2,226822075.0,sh000001
569,2020-05-11,2901.57,2894.8,2914.28,2884.38,225120410.0,sh000001
570,2020-05-12,2894.62,2891.56,2897.9,2871.23,197082985.0,sh000001
571,2020-05-13,2882.96,2898.05,2900.26,2875.54,185061310.0,sh000001
572,2020-05-14,2887.06,2870.34,2887.06,2869.18,197776202.0,sh000001
573,2020-05-15,2880.71,2868.46,2884.22,2863.37,188983592.0,sh000001
574,2020-05-18,2872.52,2875.42,2889.98,2862.27,226022882.0,sh000001
575,2020-05-19,2897.69,2898.58,2900.22,2887.58,197222405.0,sh000001
576,2020-05-20,2896.47,2883.74,2896.47,2876.18,210519985.0,sh000001
